participant_id,condition_order,interface_condition,task_type,consent,completed_session,attention_check_pass,work_role,ai_use_frequency,terminal_familiarity,canvas_familiarity,completion_seconds,task_success_pct,intervention_count,recovery_latency_seconds,workload_mental,workload_effort,transparency_score,control_score,plan_recall_score,reuse_score,strategy_note,friction_note
p03,canvas_first,terminal,monitoring,Yes,Yes,Yes,product_analysis,weekly,sometimes,often,920,74,6,115,5.0,4.76,4.99,3.91,2.8,4.47,I relied on log timestamps and repeated inspection commands to reconstruct state across agents.,I felt like I was scrolling to compare branches that would have been easier to scan side by side.
p03,canvas_first,terminal,recovery,Yes,Yes,Yes,product_analysis,weekly,sometimes,often,576,84,3,64,4.0,4.53,6.41,5.48,3.39,5.39,The terminal made it easy to issue a precise fix once I figured out where the stale input lived.,"The fix was fast, but reconstructing the upstream cause still required extra mental work."
p04,terminal_first,terminal,delegation,Yes,Yes,Yes,research,several_times_weekly,often,rarely,636,92,2,95,4.86,4.85,5.24,6.08,2.83,5.29,"The command stream made assignment quick, but I kept a mental checklist of missing steps.",I had to remember the whole plan because the log did not preserve structural gaps well.
p04,terminal_first,terminal,monitoring,Yes,Yes,Yes,research,several_times_weekly,often,rarely,858,71,5,155,5.12,5.14,4.76,4.28,1.99,4.08,I relied on log timestamps and repeated inspection commands to reconstruct state across agents.,I felt like I was scrolling to compare branches that would have been easier to scan side by side.
p04,terminal_first,terminal,recovery,Yes,Yes,Yes,research,several_times_weekly,often,rarely,553,71,2,56,5.44,4.25,6.18,5.26,2.96,5.5,The terminal made it easy to issue a precise fix once I figured out where the stale input lived.,"The fix was fast, but reconstructing the upstream cause still required extra mental work."
p04,terminal_first,canvas,delegation,Yes,Yes,Yes,research,several_times_weekly,often,rarely,719,83,4,79,4.99,4.08,5.8,5.5,3.47,5.36,I used the board layout to see whether any role or dependency was missing before launching agents.,I still wanted a quick keyboard action to insert a missing reviewer without dragging.
p04,terminal_first,canvas,monitoring,Yes,Yes,Yes,research,several_times_weekly,often,rarely,764,86,2,95,3.4,3.91,6.32,5.28,4.49,5.86,The spatial board let me compare branches without rereading the whole history.,"The board was clearer, but moving between cards took longer than skimming a terminal pane."
p04,terminal_first,canvas,recovery,Yes,Yes,Yes,research,several_times_weekly,often,rarely,612,74,4,100,4.79,4.14,4.8,5.03,3.54,4.16,"I could see which stale branch fed the writer, then repair the connection after tracing the red edge.","I saw the causal structure quickly, but the repair took more clicks than a direct command."
p05,canvas_first,canvas,delegation,Yes,Yes,Yes,engineering,daily,rarely,sometimes,686,86,3,120,3.75,3.63,6.33,6.14,3.05,7,I used the board layout to see whether any role or dependency was missing before launching agents.,I still wanted a quick keyboard action to insert a missing reviewer without dragging.
p05,canvas_first,canvas,monitoring,Yes,Yes,Yes,engineering,daily,rarely,sometimes,765,85,4,109,3.96,4.0,5.69,5.26,3.93,6.51,The spatial board let me compare branches without rereading the whole history.,"The board was clearer, but moving between cards took longer than skimming a terminal pane."
p05,canvas_first,canvas,recovery,Yes,Yes,Yes,engineering,daily,rarely,sometimes,475,73,4,75,3.96,4.12,6.02,5.23,4.4,5.11,"I could see which stale branch fed the writer, then repair the connection after tracing the red edge.","I saw the causal structure quickly, but the repair took more clicks than a direct command."
p05,canvas_first,terminal,delegation,Yes,Yes,Yes,engineering,daily,rarely,sometimes,570,85,4,68,4.51,3.69,4.27,5.97,2.82,5.35,"The command stream made assignment quick, but I kept a mental checklist of missing steps.",I had to remember the whole plan because the log did not preserve structural gaps well.
p05,canvas_first,terminal,monitoring,Yes,Yes,Yes,engineering,daily,rarely,sometimes,884,74,5,168,4.78,4.83,5.3,4.55,2.56,4.95,I relied on log timestamps and repeated inspection commands to reconstruct state across agents.,I felt like I was scrolling to compare branches that would have been easier to scan side by side.
p05,canvas_first,terminal,recovery,Yes,Yes,Yes,engineering,daily,rarely,sometimes,526,94,3,52,4.64,4.85,6.57,5.59,2.27,4.98,The terminal made it easy to issue a precise fix once I figured out where the stale input lived.,"The fix was fast, but reconstructing the upstream cause still required extra mental work."
p06,terminal_first,terminal,delegation,Yes,Yes,Yes,design,weekly,sometimes,often,619,83,6,70,5.24,3.93,5.8,5.49,3.45,4.93,"The command stream made assignment quick, but I kept a mental checklist of missing steps.",I had to remember the whole plan because the log did not preserve structural gaps well.
p06,terminal_first,terminal,monitoring,Yes,Yes,Yes,design,weekly,sometimes,often,918,85,6,161,6.24,5.04,4.96,4.09,2.91,3.78,I relied on log timestamps and repeated inspection commands to reconstruct state across agents.,I felt like I was scrolling to compare branches that would have been easier to scan side by side.
p06,terminal_first,terminal,recovery,Yes,Yes,Yes,design,weekly,sometimes,often,593,72,3,65,4.7,5.12,6.41,6.6,2.42,5.15,The terminal made it easy to issue a precise fix once I figured out where the stale input lived.,"The fix was fast, but reconstructing the upstream cause still required extra mental work."
p06,terminal_first,canvas,delegation,Yes,Yes,Yes,design,weekly,sometimes,often,691,77,2,107,3.6,4.06,5.25,5.42,4.19,4.92,I used the board layout to see whether any role or dependency was missing before launching agents.,I still wanted a quick keyboard action to insert a missing reviewer without dragging.
p06,terminal_first,canvas,monitoring,Yes,Yes,Yes,design,weekly,sometimes,often,671,97,5,84,3.84,4.48,5.94,5.51,5.6,4.3,The spatial board let me compare branches without rereading the whole history.,"The board was clearer, but moving between cards took longer than skimming a terminal pane."
p06,terminal_first,canvas,recovery,Yes,Yes,Yes,design,weekly,sometimes,often,581,79,5,35,4.37,4.25,6.16,5.47,4.33,4.82,"I could see which stale branch fed the writer, then repair the connection after tracing the red edge.","I saw the causal structure quickly, but the repair took more clicks than a direct command."
p07,canvas_first,canvas,delegation,Yes,No,No,product_analysis,several_times_weekly,often,rarely,742,87,3,87,3.7,3.53,4.77,5.67,4.65,4.64,I used the board layout to see whether any role or dependency was missing before launching agents.,I still wanted a quick keyboard action to insert a missing reviewer without dragging.
p07,canvas_first,canvas,monitoring,Yes,No,No,product_analysis,several_times_weekly,often,rarely,695,87,5,116,2.95,4.01,5.73,6.09,4.52,6.4,The spatial board let me compare branches without rereading the whole history.,"The board was clearer, but moving between cards took longer than skimming a terminal pane."
p07,canvas_first,canvas,recovery,Yes,No,No,product_analysis,several_times_weekly,often,rarely,715,87,3,63,4.18,4.51,4.72,5.8,4.24,5.23,"I could see which stale branch fed the writer, then repair the connection after tracing the red edge.","I saw the causal structure quickly, but the repair took more clicks than a direct command."
p07,canvas_first,terminal,delegation,Yes,No,No,product_analysis,several_times_weekly,often,rarely,621,82,2,69,4.45,4.13,5.89,5.16,2.6,4.37,"The command stream made assignment quick, but I kept a mental checklist of missing steps.",I had to remember the whole plan because the log did not preserve structural gaps well.
p07,canvas_first,terminal,monitoring,Yes,No,No,product_analysis,several_times_weekly,often,rarely,982,77,4,120,6.44,5.53,4.75,4.74,1.73,4.06,I relied on log timestamps and repeated inspection commands to reconstruct state across agents.,I felt like I was scrolling to compare branches that would have been easier to scan side by side.
p07,canvas_first,terminal,recovery,Yes,No,No,product_analysis,several_times_weekly,often,rarely,573,90,1,61,4.65,3.35,6.08,6.11,3.46,6.45,The terminal made it easy to issue a precise fix once I figured out where the stale input lived.,"The fix was fast, but reconstructing the upstream cause still required extra mental work."
p08,terminal_first,terminal,delegation,Yes,Yes,Yes,research,daily,rarely,sometimes,538,87,3,102,4.5,4.31,5.49,5.6,3.91,5.6,"The command stream made assignment quick, but I kept a mental checklist of missing steps.",I had to remember the whole plan because the log did not preserve structural gaps well.
p08,terminal_first,terminal,monitoring,Yes,Yes,Yes,research,daily,rarely,sometimes,934,78,5,163,5.42,5.06,3.7,5.38,2.7,4.41,I relied on log timestamps and repeated inspection commands to reconstruct state across agents.,I felt like I was scrolling to compare branches that would have been easier to scan side by side.
p08,terminal_first,terminal,recovery,Yes,Yes,Yes,research,daily,rarely,sometimes,575,85,3,87,4.54,4.0,6.01,5.67,2.57,6.3,The terminal made it easy to issue a precise fix once I figured out where the stale input lived.,"The fix was fast, but reconstructing the upstream cause still required extra mental work."
p08,terminal_first,canvas,delegation,Yes,Yes,Yes,research,daily,rarely,sometimes,685,95,2,90,4.1,4.43,6.44,5.96,4.12,4.86,I used the board layout to see whether any role or dependency was missing before launching agents.,I still wanted a quick keyboard action to insert a missing reviewer without dragging.
p08,terminal_first,canvas,monitoring,Yes,Yes,Yes,research,daily,rarely,sometimes,721,85,4,106,2.96,3.64,5.64,5.25,4.54,3.92,The spatial board let me compare branches without rereading the whole history.,"The board was clearer, but moving between cards took longer than skimming a terminal pane."
p08,terminal_first,canvas,recovery,Yes,Yes,Yes,research,daily,rarely,sometimes,503,93,3,81,4.05,4.48,5.26,5.06,4.63,5.65,"I could see which stale branch fed the writer, then repair the connection after tracing the red edge.","I saw the causal structure quickly, but the repair took more clicks than a direct command."
p09,canvas_first,canvas,delegation,Yes,Yes,Yes,engineering,weekly,sometimes,often,678,80,4,93,4.52,5.04,5.01,5.92,3.69,5.93,I used the board layout to see whether any role or dependency was missing before launching agents.,I still wanted a quick keyboard action to insert a missing reviewer without dragging.
p09,canvas_first,canvas,monitoring,Yes,Yes,Yes,engineering,weekly,sometimes,often,705,82,4,100,3.7,4.56,6.09,4.9,5.55,5.12,The spatial board let me compare branches without rereading the whole history.,"The board was clearer, but moving between cards took longer than skimming a terminal pane."
p09,canvas_first,canvas,recovery,Yes,Yes,Yes,engineering,weekly,sometimes,often,560,82,4,81,3.73,4.53,6.51,5.15,4.32,5.22,"I could see which stale branch fed the writer, then repair the connection after tracing the red edge.","I saw the causal structure quickly, but the repair took more clicks than a direct command."
p09,canvas_first,terminal,delegation,Yes,Yes,Yes,engineering,weekly,sometimes,often,573,89,2,68,3.93,4.68,4.9,6.04,2.85,4.19,"The command stream made assignment quick, but I kept a mental checklist of missing steps.",I had to remember the whole plan because the log did not preserve structural gaps well.
p09,canvas_first,terminal,monitoring,Yes,Yes,Yes,engineering,weekly,sometimes,often,809,72,5,138,5.51,5.28,5.52,4.92,3.18,4.01,I relied on log timestamps and repeated inspection commands to reconstruct state across agents.,I felt like I was scrolling to compare branches that would have been easier to scan side by side.
p09,canvas_first,terminal,recovery,Yes,Yes,Yes,engineering,weekly,sometimes,often,574,81,4,64,4.79,3.76,5.53,5.73,3.22,6.04,The terminal made it easy to issue a precise fix once I figured out where the stale input lived.,"The fix was fast, but reconstructing the upstream cause still required extra mental work."
p10,terminal_first,terminal,delegation,Yes,Yes,Yes,design,several_times_weekly,often,rarely,557,75,3,96,3.69,3.95,5.01,5.87,3.17,6.16,"The command stream made assignment quick, but I kept a mental checklist of missing steps.",I had to remember the whole plan because the log did not preserve structural gaps well.
p10,terminal_first,terminal,monitoring,Yes,Yes,Yes,design,several_times_weekly,often,rarely,922,71,6,177,5.63,4.47,4.49,4.38,2.45,4.41,I relied on log timestamps and repeated inspection commands to reconstruct state across agents.,I felt like I was scrolling to compare branches that would have been easier to scan side by side.
p10,terminal_first,terminal,recovery,Yes,Yes,Yes,design,several_times_weekly,often,rarely,547,94,2,49,4.46,3.83,5.71,5.1,2.68,5.21,The terminal made it easy to issue a precise fix once I figured out where the stale input lived.,"The fix was fast, but reconstructing the upstream cause still required extra mental work."
p10,terminal_first,canvas,delegation,Yes,Yes,Yes,design,several_times_weekly,often,rarely,752,88,3,132,4.28,4.35,4.28,5.58,3.13,5.54,I used the board layout to see whether any role or dependency was missing before launching agents.,I still wanted a quick keyboard action to insert a missing reviewer without dragging.
p10,terminal_first,canvas,monitoring,Yes,Yes,Yes,design,several_times_weekly,often,rarely,825,81,4,83,2.76,3.7,5.24,6.01,5.08,6.37,The spatial board let me compare branches without rereading the whole history.,"The board was clearer, but moving between cards took longer than skimming a terminal pane."
p10,terminal_first,canvas,recovery,Yes,Yes,Yes,design,several_times_weekly,often,rarely,560,83,5,100,4.15,4.31,5.43,5.18,4.82,4.92,"I could see which stale branch fed the writer, then repair the connection after tracing the red edge.","I saw the causal structure quickly, but the repair took more clicks than a direct command."
p11,canvas_first,canvas,delegation,Yes,Yes,Yes,product_analysis,daily,rarely,sometimes,729,82,3,84,3.4,2.75,5.73,6.24,3.64,5.18,I used the board layout to see whether any role or dependency was missing before launching agents.,I still wanted a quick keyboard action to insert a missing reviewer without dragging.
p11,canvas_first,canvas,monitoring,Yes,Yes,Yes,product_analysis,daily,rarely,sometimes,888,79,3,87,3.12,3.97,6.66,5.7,4.9,5.15,The spatial board let me compare branches without rereading the whole history.,"The board was clearer, but moving between cards took longer than skimming a terminal pane."
p11,canvas_first,canvas,recovery,Yes,Yes,Yes,product_analysis,daily,rarely,sometimes,580,83,3,62,4.44,4.83,4.96,5.5,3.53,4.58,"I could see which stale branch fed the writer, then repair the connection after tracing the red edge.","I saw the causal structure quickly, but the repair took more clicks than a direct command."
p11,canvas_first,terminal,delegation,Yes,Yes,Yes,product_analysis,daily,rarely,sometimes,586,81,1,78,4.04,3.83,5.75,6.97,2.51,3.96,"The command stream made assignment quick, but I kept a mental checklist of missing steps.",I had to remember the whole plan because the log did not preserve structural gaps well.
p11,canvas_first,terminal,monitoring,Yes,Yes,Yes,product_analysis,daily,rarely,sometimes,889,71,4,141,4.32,5.45,4.38,5.28,3.06,4.84,I relied on log timestamps and repeated inspection commands to reconstruct state across agents.,I felt like I was scrolling to compare branches that would have been easier to scan side by side.
p11,canvas_first,terminal,recovery,Yes,Yes,Yes,product_analysis,daily,rarely,sometimes,523,84,2,53,4.67,4.32,5.52,5.63,3.23,5.32,The terminal made it easy to issue a precise fix once I figured out where the stale input lived.,"The fix was fast, but reconstructing the upstream cause still required extra mental work."
p12,terminal_first,terminal,delegation,Yes,Yes,Yes,research,weekly,sometimes,often,665,84,3,87,4.76,5.24,5.61,5.29,2.54,5.12,"The command stream made assignment quick, but I kept a mental checklist of missing steps.",I had to remember the whole plan because the log did not preserve structural gaps well.
p12,terminal_first,terminal,monitoring,Yes,Yes,Yes,research,weekly,sometimes,often,1027,71,5,162,5.5,5.27,4.87,4.1,2.54,4.04,I relied on log timestamps and repeated inspection commands to reconstruct state across agents.,I felt like I was scrolling to compare branches that would have been easier to scan side by side.
p12,terminal_first,terminal,recovery,Yes,Yes,Yes,research,weekly,sometimes,often,620,84,1,64,4.75,3.36,5.22,5.51,4.41,4.39,The terminal made it easy to issue a precise fix once I figured out where the stale input lived.,"The fix was fast, but reconstructing the upstream cause still required extra mental work."
p12,terminal_first,canvas,delegation,Yes,Yes,Yes,research,weekly,sometimes,often,738,86,4,99,4.71,4.51,6.23,5.89,4.04,5.47,I used the board layout to see whether any role or dependency was missing before launching agents.,I still wanted a quick keyboard action to insert a missing reviewer without dragging.
p12,terminal_first,canvas,monitoring,Yes,Yes,Yes,research,weekly,sometimes,often,773,77,5,88,4.52,3.54,5.83,5.93,4.44,6.06,The spatial board let me compare branches without rereading the whole history.,"The board was clearer, but moving between cards took longer than skimming a terminal pane."
p12,terminal_first,canvas,recovery,Yes,Yes,Yes,research,weekly,sometimes,often,635,80,4,60,5.05,4.3,5.01,5.44,3.64,5.24,"I could see which stale branch fed the writer, then repair the connection after tracing the red edge.","I saw the causal structure quickly, but the repair took more clicks than a direct command."
p13,canvas_first,canvas,delegation,Yes,Yes,Yes,engineering,several_times_weekly,often,rarely,815,71,2,85,4.54,3.86,5.41,5.43,3.92,4.69,I used the board layout to see whether any role or dependency was missing before launching agents.,I still wanted a quick keyboard action to insert a missing reviewer without dragging.
p13,canvas_first,canvas,monitoring,Yes,Yes,Yes,engineering,several_times_weekly,often,rarely,717,95,4,103,4.24,4.79,5.71,5.3,2.85,5.4,The spatial board let me compare branches without rereading the whole history.,"The board was clearer, but moving between cards took longer than skimming a terminal pane."
p13,canvas_first,canvas,recovery,Yes,Yes,Yes,engineering,several_times_weekly,often,rarely,597,86,3,57,4.18,4.32,5.71,4.87,3.21,4.76,"I could see which stale branch fed the writer, then repair the connection after tracing the red edge.","I saw the causal structure quickly, but the repair took more clicks than a direct command."
p13,canvas_first,terminal,delegation,Yes,Yes,Yes,engineering,several_times_weekly,often,rarely,598,80,3,80,4.28,4.34,6.28,4.95,3.84,4.82,"The command stream made assignment quick, but I kept a mental checklist of missing steps.",I had to remember the whole plan because the log did not preserve structural gaps well.
p13,canvas_first,terminal,monitoring,Yes,Yes,Yes,engineering,several_times_weekly,often,rarely,962,69,6,142,5.94,5.45,5.03,4.58,2.66,5.46,I relied on log timestamps and repeated inspection commands to reconstruct state across agents.,I felt like I was scrolling to compare branches that would have been easier to scan side by side.
p13,canvas_first,terminal,recovery,Yes,Yes,Yes,engineering,several_times_weekly,often,rarely,490,82,2,36,2.91,4.38,6.49,6.08,4.37,5.09,The terminal made it easy to issue a precise fix once I figured out where the stale input lived.,"The fix was fast, but reconstructing the upstream cause still required extra mental work."
p14,terminal_first,terminal,delegation,Yes,Yes,Yes,design,daily,rarely,sometimes,622,90,4,93,4.87,4.14,5.6,5.9,2.1,5.98,"The command stream made assignment quick, but I kept a mental checklist of missing steps.",I had to remember the whole plan because the log did not preserve structural gaps well.
p14,terminal_first,terminal,monitoring,Yes,Yes,Yes,design,daily,rarely,sometimes,886,82,6,116,5.22,5.67,5.44,4.88,3.26,4.82,I relied on log timestamps and repeated inspection commands to reconstruct state across agents.,I felt like I was scrolling to compare branches that would have been easier to scan side by side.
p14,terminal_first,terminal,recovery,Yes,Yes,Yes,design,daily,rarely,sometimes,521,86,4,77,3.46,3.88,6.59,5.84,3.69,5.65,The terminal made it easy to issue a precise fix once I figured out where the stale input lived.,"The fix was fast, but reconstructing the upstream cause still required extra mental work."
p14,terminal_first,canvas,delegation,Yes,Yes,Yes,design,daily,rarely,sometimes,672,78,2,93,4.48,4.71,5.19,5.27,4.08,4.92,I used the board layout to see whether any role or dependency was missing before launching agents.,I still wanted a quick keyboard action to insert a missing reviewer without dragging.
p14,terminal_first,canvas,monitoring,Yes,Yes,Yes,design,daily,rarely,sometimes,705,93,4,92,3.96,3.24,6.14,5.83,3.33,6.37,The spatial board let me compare branches without rereading the whole history.,"The board was clearer, but moving between cards took longer than skimming a terminal pane."
p14,terminal_first,canvas,recovery,Yes,Yes,Yes,design,daily,rarely,sometimes,671,81,2,91,4.77,3.62,5.87,5.42,4.18,4.63,"I could see which stale branch fed the writer, then repair the connection after tracing the red edge.","I saw the causal structure quickly, but the repair took more clicks than a direct command."
p15,canvas_first,canvas,delegation,Yes,Yes,Yes,product_analysis,weekly,sometimes,often,606,83,3,106,3.87,3.3,4.86,5.23,3.97,6.15,I used the board layout to see whether any role or dependency was missing before launching agents.,I still wanted a quick keyboard action to insert a missing reviewer without dragging.
p15,canvas_first,canvas,monitoring,Yes,Yes,Yes,product_analysis,weekly,sometimes,often,711,78,5,76,3.81,4.06,5.95,5.71,5.03,5.74,The spatial board let me compare branches without rereading the whole history.,"The board was clearer, but moving between cards took longer than skimming a terminal pane."
p15,canvas_first,canvas,recovery,Yes,Yes,Yes,product_analysis,weekly,sometimes,often,518,66,3,69,4.88,4.68,5.12,6.35,4.7,5.02,"I could see which stale branch fed the writer, then repair the connection after tracing the red edge.","I saw the causal structure quickly, but the repair took more clicks than a direct command."
p15,canvas_first,terminal,delegation,Yes,Yes,Yes,product_analysis,weekly,sometimes,often,675,76,2,69,4.36,3.76,5.29,6.1,2.57,5.6,"The command stream made assignment quick, but I kept a mental checklist of missing steps.",I had to remember the whole plan because the log did not preserve structural gaps well.
p15,canvas_first,terminal,monitoring,Yes,Yes,Yes,product_analysis,weekly,sometimes,often,968,79,6,147,5.03,5.11,4.11,5.2,3.0,4.52,I relied on log timestamps and repeated inspection commands to reconstruct state across agents.,I felt like I was scrolling to compare branches that would have been easier to scan side by side.
p15,canvas_first,terminal,recovery,Yes,Yes,Yes,product_analysis,weekly,sometimes,often,558,86,3,54,4.61,4.32,5.62,4.71,3.98,4.83,The terminal made it easy to issue a precise fix once I figured out where the stale input lived.,"The fix was fast, but reconstructing the upstream cause still required extra mental work."
p16,terminal_first,terminal,delegation,Yes,Yes,Yes,research,several_times_weekly,often,rarely,588,72,4,89,4.79,3.86,6.35,6.56,2.35,4.28,"The command stream made assignment quick, but I kept a mental checklist of missing steps.",I had to remember the whole plan because the log did not preserve structural gaps well.
p16,terminal_first,terminal,monitoring,Yes,Yes,Yes,research,several_times_weekly,often,rarely,888,75,4,177,4.21,4.81,5.32,4.37,3.15,4.98,I relied on log timestamps and repeated inspection commands to reconstruct state across agents.,I felt like I was scrolling to compare branches that would have been easier to scan side by side.
p16,terminal_first,terminal,recovery,Yes,Yes,Yes,research,several_times_weekly,often,rarely,489,99,3,73,4.13,4.53,5.5,6.18,3.96,5.68,The terminal made it easy to issue a precise fix once I figured out where the stale input lived.,"The fix was fast, but reconstructing the upstream cause still required extra mental work."
p16,terminal_first,canvas,delegation,Yes,Yes,Yes,research,several_times_weekly,often,rarely,694,97,4,105,3.22,3.32,5.74,6.34,3.85,5.06,I used the board layout to see whether any role or dependency was missing before launching agents.,I still wanted a quick keyboard action to insert a missing reviewer without dragging.
p16,terminal_first,canvas,monitoring,Yes,Yes,Yes,research,several_times_weekly,often,rarely,782,79,4,95,3.41,3.65,5.66,5.9,5.3,5.23,The spatial board let me compare branches without rereading the whole history.,"The board was clearer, but moving between cards took longer than skimming a terminal pane."
p16,terminal_first,canvas,recovery,Yes,Yes,Yes,research,several_times_weekly,often,rarely,631,72,4,91,5.14,4.58,5.43,5.01,5.5,5.35,"I could see which stale branch fed the writer, then repair the connection after tracing the red edge.","I saw the causal structure quickly, but the repair took more clicks than a direct command."
p17,canvas_first,canvas,delegation,Yes,Yes,Yes,engineering,daily,rarely,sometimes,697,78,3,104,4.23,4.64,5.35,5.0,4.07,4.0,I used the board layout to see whether any role or dependency was missing before launching agents.,I still wanted a quick keyboard action to insert a missing reviewer without dragging.
p17,canvas_first,canvas,monitoring,Yes,Yes,Yes,engineering,daily,rarely,sometimes,759,99,4,96,4.39,4.12,6.26,4.87,4.21,5.2,The spatial board let me compare branches without rereading the whole history.,"The board was clearer, but moving between cards took longer than skimming a terminal pane."
p17,canvas_first,canvas,recovery,Yes,Yes,Yes,engineering,daily,rarely,sometimes,458,80,4,39,4.66,4.5,5.01,5.82,3.32,4.7,"I could see which stale branch fed the writer, then repair the connection after tracing the red edge.","I saw the causal structure quickly, but the repair took more clicks than a direct command."
p17,canvas_first,terminal,delegation,Yes,Yes,Yes,engineering,daily,rarely,sometimes,586,82,3,69,5.51,4.81,5.62,3.97,2.99,5.69,"The command stream made assignment quick, but I kept a mental checklist of missing steps.",I had to remember the whole plan because the log did not preserve structural gaps well.
p17,canvas_first,terminal,monitoring,Yes,Yes,Yes,engineering,daily,rarely,sometimes,895,62,4,154,6.03,5.52,5.39,4.66,1.93,5.09,I relied on log timestamps and repeated inspection commands to reconstruct state across agents.,I felt like I was scrolling to compare branches that would have been easier to scan side by side.
p17,canvas_first,terminal,recovery,Yes,Yes,Yes,engineering,daily,rarely,sometimes,426,85,3,56,4.28,5.03,5.35,5.96,2.76,5.41,The terminal made it easy to issue a precise fix once I figured out where the stale input lived.,"The fix was fast, but reconstructing the upstream cause still required extra mental work."
