participant_id,condition_order,interface_condition,task_type,consent,completed_session,attention_check_pass,work_role,ai_use_frequency,terminal_familiarity,canvas_familiarity,completion_seconds,task_success_pct,intervention_count,recovery_latency_seconds,workload_mental,workload_effort,transparency_score,control_score,plan_recall_score,reuse_score,strategy_note,friction_note,workload_score
p03,canvas_first,terminal,recovery,Yes,Yes,Yes,product_analysis,weekly,sometimes,often,576.0,84.0,3.0,64.0,4.0,4.53,6.41,5.48,3.39,5.39,The terminal made it easy to issue a precise fix once I figured out where the stale input lived.,"The fix was fast, but reconstructing the upstream cause still required extra mental work.",4.265
p04,terminal_first,terminal,delegation,Yes,Yes,Yes,research,several_times_weekly,often,rarely,636.0,92.0,2.0,95.0,4.86,4.85,5.24,6.08,2.83,5.29,"The command stream made assignment quick, but I kept a mental checklist of missing steps.",I had to remember the whole plan because the log did not preserve structural gaps well.,4.855
p04,terminal_first,terminal,monitoring,Yes,Yes,Yes,research,several_times_weekly,often,rarely,858.0,71.0,5.0,155.0,5.12,5.14,4.76,4.28,1.99,4.08,I relied on log timestamps and repeated inspection commands to reconstruct state across agents.,I felt like I was scrolling to compare branches that would have been easier to scan side by side.,5.13
p04,terminal_first,terminal,recovery,Yes,Yes,Yes,research,several_times_weekly,often,rarely,553.0,71.0,2.0,56.0,5.44,4.25,6.18,5.26,2.96,5.5,The terminal made it easy to issue a precise fix once I figured out where the stale input lived.,"The fix was fast, but reconstructing the upstream cause still required extra mental work.",4.845
p04,terminal_first,canvas,delegation,Yes,Yes,Yes,research,several_times_weekly,often,rarely,719.0,83.0,4.0,79.0,4.99,4.08,5.8,5.5,3.47,5.36,I used the board layout to see whether any role or dependency was missing before launching agents.,I still wanted a quick keyboard action to insert a missing reviewer without dragging.,4.535
p04,terminal_first,canvas,monitoring,Yes,Yes,Yes,research,several_times_weekly,often,rarely,764.0,86.0,2.0,95.0,3.4,3.91,6.32,5.28,4.49,5.86,The spatial board let me compare branches without rereading the whole history.,"The board was clearer, but moving between cards took longer than skimming a terminal pane.",3.655
p04,terminal_first,canvas,recovery,Yes,Yes,Yes,research,several_times_weekly,often,rarely,612.0,74.0,4.0,100.0,4.79,4.14,4.8,5.03,3.54,4.16,"I could see which stale branch fed the writer, then repair the connection after tracing the red edge.","I saw the causal structure quickly, but the repair took more clicks than a direct command.",4.465
p05,canvas_first,canvas,delegation,Yes,Yes,Yes,engineering,daily,rarely,sometimes,686.0,86.0,3.0,120.0,3.75,3.63,6.33,6.14,3.05,7.0,I used the board layout to see whether any role or dependency was missing before launching agents.,I still wanted a quick keyboard action to insert a missing reviewer without dragging.,3.69
p05,canvas_first,canvas,monitoring,Yes,Yes,Yes,engineering,daily,rarely,sometimes,765.0,85.0,4.0,109.0,3.96,4.0,5.69,5.26,3.93,6.51,The spatial board let me compare branches without rereading the whole history.,"The board was clearer, but moving between cards took longer than skimming a terminal pane.",3.98
p05,canvas_first,canvas,recovery,Yes,Yes,Yes,engineering,daily,rarely,sometimes,475.0,73.0,4.0,75.0,3.96,4.12,6.02,5.23,4.4,5.11,"I could see which stale branch fed the writer, then repair the connection after tracing the red edge.","I saw the causal structure quickly, but the repair took more clicks than a direct command.",4.04
p05,canvas_first,terminal,delegation,Yes,Yes,Yes,engineering,daily,rarely,sometimes,570.0,85.0,4.0,68.0,4.51,3.69,4.27,5.97,2.82,5.35,"The command stream made assignment quick, but I kept a mental checklist of missing steps.",I had to remember the whole plan because the log did not preserve structural gaps well.,4.1
p05,canvas_first,terminal,monitoring,Yes,Yes,Yes,engineering,daily,rarely,sometimes,884.0,74.0,5.0,168.0,4.78,4.83,5.3,4.55,2.56,4.95,I relied on log timestamps and repeated inspection commands to reconstruct state across agents.,I felt like I was scrolling to compare branches that would have been easier to scan side by side.,4.805
p05,canvas_first,terminal,recovery,Yes,Yes,Yes,engineering,daily,rarely,sometimes,526.0,94.0,3.0,52.0,4.64,4.85,6.57,5.59,2.27,4.98,The terminal made it easy to issue a precise fix once I figured out where the stale input lived.,"The fix was fast, but reconstructing the upstream cause still required extra mental work.",4.745
p06,terminal_first,terminal,delegation,Yes,Yes,Yes,design,weekly,sometimes,often,619.0,83.0,6.0,70.0,5.24,3.93,5.8,5.49,3.45,4.93,"The command stream made assignment quick, but I kept a mental checklist of missing steps.",I had to remember the whole plan because the log did not preserve structural gaps well.,4.585
p06,terminal_first,terminal,monitoring,Yes,Yes,Yes,design,weekly,sometimes,often,918.0,85.0,6.0,161.0,6.24,5.04,4.96,4.09,2.91,3.78,I relied on log timestamps and repeated inspection commands to reconstruct state across agents.,I felt like I was scrolling to compare branches that would have been easier to scan side by side.,5.64
p06,terminal_first,terminal,recovery,Yes,Yes,Yes,design,weekly,sometimes,often,593.0,72.0,3.0,65.0,4.7,5.12,6.41,6.6,2.42,5.15,The terminal made it easy to issue a precise fix once I figured out where the stale input lived.,"The fix was fast, but reconstructing the upstream cause still required extra mental work.",4.91
p06,terminal_first,canvas,delegation,Yes,Yes,Yes,design,weekly,sometimes,often,691.0,77.0,2.0,107.0,3.6,4.06,5.25,5.42,4.19,4.92,I used the board layout to see whether any role or dependency was missing before launching agents.,I still wanted a quick keyboard action to insert a missing reviewer without dragging.,3.83
p06,terminal_first,canvas,monitoring,Yes,Yes,Yes,design,weekly,sometimes,often,671.0,97.0,5.0,84.0,3.84,4.48,5.94,5.51,5.6,4.3,The spatial board let me compare branches without rereading the whole history.,"The board was clearer, but moving between cards took longer than skimming a terminal pane.",4.16
p06,terminal_first,canvas,recovery,Yes,Yes,Yes,design,weekly,sometimes,often,581.0,79.0,5.0,35.0,4.37,4.25,6.16,5.47,4.33,4.82,"I could see which stale branch fed the writer, then repair the connection after tracing the red edge.","I saw the causal structure quickly, but the repair took more clicks than a direct command.",4.31
p08,terminal_first,terminal,delegation,Yes,Yes,Yes,research,daily,rarely,sometimes,538.0,87.0,3.0,102.0,4.5,4.31,5.49,5.6,3.91,5.6,"The command stream made assignment quick, but I kept a mental checklist of missing steps.",I had to remember the whole plan because the log did not preserve structural gaps well.,4.405
p08,terminal_first,terminal,monitoring,Yes,Yes,Yes,research,daily,rarely,sometimes,934.0,78.0,5.0,163.0,5.42,5.06,3.7,5.38,2.7,4.41,I relied on log timestamps and repeated inspection commands to reconstruct state across agents.,I felt like I was scrolling to compare branches that would have been easier to scan side by side.,5.24
p08,terminal_first,terminal,recovery,Yes,Yes,Yes,research,daily,rarely,sometimes,575.0,85.0,3.0,87.0,4.54,4.0,6.01,5.67,2.57,6.3,The terminal made it easy to issue a precise fix once I figured out where the stale input lived.,"The fix was fast, but reconstructing the upstream cause still required extra mental work.",4.27
p08,terminal_first,canvas,delegation,Yes,Yes,Yes,research,daily,rarely,sometimes,685.0,95.0,2.0,90.0,4.1,4.43,6.44,5.96,4.12,4.86,I used the board layout to see whether any role or dependency was missing before launching agents.,I still wanted a quick keyboard action to insert a missing reviewer without dragging.,4.265
p08,terminal_first,canvas,monitoring,Yes,Yes,Yes,research,daily,rarely,sometimes,721.0,85.0,4.0,106.0,2.96,3.64,5.64,5.25,4.54,3.92,The spatial board let me compare branches without rereading the whole history.,"The board was clearer, but moving between cards took longer than skimming a terminal pane.",3.3
p08,terminal_first,canvas,recovery,Yes,Yes,Yes,research,daily,rarely,sometimes,503.0,93.0,3.0,81.0,4.05,4.48,5.26,5.06,4.63,5.65,"I could see which stale branch fed the writer, then repair the connection after tracing the red edge.","I saw the causal structure quickly, but the repair took more clicks than a direct command.",4.265
p09,canvas_first,canvas,delegation,Yes,Yes,Yes,engineering,weekly,sometimes,often,678.0,80.0,4.0,93.0,4.52,5.04,5.01,5.92,3.69,5.93,I used the board layout to see whether any role or dependency was missing before launching agents.,I still wanted a quick keyboard action to insert a missing reviewer without dragging.,4.78
p09,canvas_first,canvas,monitoring,Yes,Yes,Yes,engineering,weekly,sometimes,often,705.0,82.0,4.0,100.0,3.7,4.56,6.09,4.9,5.55,5.12,The spatial board let me compare branches without rereading the whole history.,"The board was clearer, but moving between cards took longer than skimming a terminal pane.",4.13
p09,canvas_first,canvas,recovery,Yes,Yes,Yes,engineering,weekly,sometimes,often,560.0,82.0,4.0,81.0,3.73,4.53,6.51,5.15,4.32,5.22,"I could see which stale branch fed the writer, then repair the connection after tracing the red edge.","I saw the causal structure quickly, but the repair took more clicks than a direct command.",4.13
p09,canvas_first,terminal,delegation,Yes,Yes,Yes,engineering,weekly,sometimes,often,573.0,89.0,2.0,68.0,3.93,4.68,4.9,6.04,2.85,4.19,"The command stream made assignment quick, but I kept a mental checklist of missing steps.",I had to remember the whole plan because the log did not preserve structural gaps well.,4.305
p09,canvas_first,terminal,monitoring,Yes,Yes,Yes,engineering,weekly,sometimes,often,809.0,72.0,5.0,138.0,5.51,5.28,5.52,4.92,3.18,4.01,I relied on log timestamps and repeated inspection commands to reconstruct state across agents.,I felt like I was scrolling to compare branches that would have been easier to scan side by side.,5.395
p09,canvas_first,terminal,recovery,Yes,Yes,Yes,engineering,weekly,sometimes,often,574.0,81.0,4.0,64.0,4.79,3.76,5.53,5.73,3.22,6.04,The terminal made it easy to issue a precise fix once I figured out where the stale input lived.,"The fix was fast, but reconstructing the upstream cause still required extra mental work.",4.275
p10,terminal_first,terminal,delegation,Yes,Yes,Yes,design,several_times_weekly,often,rarely,557.0,75.0,3.0,96.0,3.69,3.95,5.01,5.87,3.17,6.16,"The command stream made assignment quick, but I kept a mental checklist of missing steps.",I had to remember the whole plan because the log did not preserve structural gaps well.,3.82
p10,terminal_first,terminal,monitoring,Yes,Yes,Yes,design,several_times_weekly,often,rarely,922.0,71.0,6.0,177.0,5.63,4.47,4.49,4.38,2.45,4.41,I relied on log timestamps and repeated inspection commands to reconstruct state across agents.,I felt like I was scrolling to compare branches that would have been easier to scan side by side.,5.05
p10,terminal_first,terminal,recovery,Yes,Yes,Yes,design,several_times_weekly,often,rarely,547.0,94.0,2.0,49.0,4.46,3.83,5.71,5.1,2.68,5.21,The terminal made it easy to issue a precise fix once I figured out where the stale input lived.,"The fix was fast, but reconstructing the upstream cause still required extra mental work.",4.145
p10,terminal_first,canvas,delegation,Yes,Yes,Yes,design,several_times_weekly,often,rarely,752.0,88.0,3.0,132.0,4.28,4.35,4.28,5.58,3.13,5.54,I used the board layout to see whether any role or dependency was missing before launching agents.,I still wanted a quick keyboard action to insert a missing reviewer without dragging.,4.315
p10,terminal_first,canvas,monitoring,Yes,Yes,Yes,design,several_times_weekly,often,rarely,825.0,81.0,4.0,83.0,2.76,3.7,5.24,6.01,5.08,6.37,The spatial board let me compare branches without rereading the whole history.,"The board was clearer, but moving between cards took longer than skimming a terminal pane.",3.23
p10,terminal_first,canvas,recovery,Yes,Yes,Yes,design,several_times_weekly,often,rarely,560.0,83.0,5.0,100.0,4.15,4.31,5.43,5.18,4.82,4.92,"I could see which stale branch fed the writer, then repair the connection after tracing the red edge.","I saw the causal structure quickly, but the repair took more clicks than a direct command.",4.23
p11,canvas_first,canvas,delegation,Yes,Yes,Yes,product_analysis,daily,rarely,sometimes,729.0,82.0,3.0,84.0,3.4,2.75,5.73,6.24,3.64,5.18,I used the board layout to see whether any role or dependency was missing before launching agents.,I still wanted a quick keyboard action to insert a missing reviewer without dragging.,3.075
p11,canvas_first,canvas,monitoring,Yes,Yes,Yes,product_analysis,daily,rarely,sometimes,888.0,79.0,3.0,87.0,3.12,3.97,6.66,5.7,4.9,5.15,The spatial board let me compare branches without rereading the whole history.,"The board was clearer, but moving between cards took longer than skimming a terminal pane.",3.545
p11,canvas_first,canvas,recovery,Yes,Yes,Yes,product_analysis,daily,rarely,sometimes,580.0,83.0,3.0,62.0,4.44,4.83,4.96,5.5,3.53,4.58,"I could see which stale branch fed the writer, then repair the connection after tracing the red edge.","I saw the causal structure quickly, but the repair took more clicks than a direct command.",4.635
p11,canvas_first,terminal,delegation,Yes,Yes,Yes,product_analysis,daily,rarely,sometimes,586.0,81.0,1.0,78.0,4.04,3.83,5.75,6.97,2.51,3.96,"The command stream made assignment quick, but I kept a mental checklist of missing steps.",I had to remember the whole plan because the log did not preserve structural gaps well.,3.935
p11,canvas_first,terminal,monitoring,Yes,Yes,Yes,product_analysis,daily,rarely,sometimes,889.0,71.0,4.0,141.0,4.32,5.45,4.38,5.28,3.06,4.84,I relied on log timestamps and repeated inspection commands to reconstruct state across agents.,I felt like I was scrolling to compare branches that would have been easier to scan side by side.,4.885
p11,canvas_first,terminal,recovery,Yes,Yes,Yes,product_analysis,daily,rarely,sometimes,523.0,84.0,2.0,53.0,4.67,4.32,5.52,5.63,3.23,5.32,The terminal made it easy to issue a precise fix once I figured out where the stale input lived.,"The fix was fast, but reconstructing the upstream cause still required extra mental work.",4.495
p12,terminal_first,terminal,delegation,Yes,Yes,Yes,research,weekly,sometimes,often,665.0,84.0,3.0,87.0,4.76,5.24,5.61,5.29,2.54,5.12,"The command stream made assignment quick, but I kept a mental checklist of missing steps.",I had to remember the whole plan because the log did not preserve structural gaps well.,5.0
p12,terminal_first,terminal,monitoring,Yes,Yes,Yes,research,weekly,sometimes,often,1027.0,71.0,5.0,162.0,5.5,5.27,4.87,4.1,2.54,4.04,I relied on log timestamps and repeated inspection commands to reconstruct state across agents.,I felt like I was scrolling to compare branches that would have been easier to scan side by side.,5.385
p12,terminal_first,terminal,recovery,Yes,Yes,Yes,research,weekly,sometimes,often,620.0,84.0,1.0,64.0,4.75,3.36,5.22,5.51,4.41,4.39,The terminal made it easy to issue a precise fix once I figured out where the stale input lived.,"The fix was fast, but reconstructing the upstream cause still required extra mental work.",4.055
p12,terminal_first,canvas,delegation,Yes,Yes,Yes,research,weekly,sometimes,often,738.0,86.0,4.0,99.0,4.71,4.51,6.23,5.89,4.04,5.47,I used the board layout to see whether any role or dependency was missing before launching agents.,I still wanted a quick keyboard action to insert a missing reviewer without dragging.,4.61
p12,terminal_first,canvas,monitoring,Yes,Yes,Yes,research,weekly,sometimes,often,773.0,77.0,5.0,88.0,4.52,3.54,5.83,5.93,4.44,6.06,The spatial board let me compare branches without rereading the whole history.,"The board was clearer, but moving between cards took longer than skimming a terminal pane.",4.03
p12,terminal_first,canvas,recovery,Yes,Yes,Yes,research,weekly,sometimes,often,635.0,80.0,4.0,60.0,5.05,4.3,5.01,5.44,3.64,5.24,"I could see which stale branch fed the writer, then repair the connection after tracing the red edge.","I saw the causal structure quickly, but the repair took more clicks than a direct command.",4.675
p13,canvas_first,canvas,delegation,Yes,Yes,Yes,engineering,several_times_weekly,often,rarely,815.0,71.0,2.0,85.0,4.54,3.86,5.41,5.43,3.92,4.69,I used the board layout to see whether any role or dependency was missing before launching agents.,I still wanted a quick keyboard action to insert a missing reviewer without dragging.,4.2
p13,canvas_first,canvas,monitoring,Yes,Yes,Yes,engineering,several_times_weekly,often,rarely,717.0,95.0,4.0,103.0,4.24,4.79,5.71,5.3,2.85,5.4,The spatial board let me compare branches without rereading the whole history.,"The board was clearer, but moving between cards took longer than skimming a terminal pane.",4.515
p13,canvas_first,canvas,recovery,Yes,Yes,Yes,engineering,several_times_weekly,often,rarely,597.0,86.0,3.0,57.0,4.18,4.32,5.71,4.87,3.21,4.76,"I could see which stale branch fed the writer, then repair the connection after tracing the red edge.","I saw the causal structure quickly, but the repair took more clicks than a direct command.",4.25
p13,canvas_first,terminal,delegation,Yes,Yes,Yes,engineering,several_times_weekly,often,rarely,598.0,80.0,3.0,80.0,4.28,4.34,6.28,4.95,3.84,4.82,"The command stream made assignment quick, but I kept a mental checklist of missing steps.",I had to remember the whole plan because the log did not preserve structural gaps well.,4.31
p13,canvas_first,terminal,monitoring,Yes,Yes,Yes,engineering,several_times_weekly,often,rarely,962.0,69.0,6.0,142.0,5.94,5.45,5.03,4.58,2.66,5.46,I relied on log timestamps and repeated inspection commands to reconstruct state across agents.,I felt like I was scrolling to compare branches that would have been easier to scan side by side.,5.695
p13,canvas_first,terminal,recovery,Yes,Yes,Yes,engineering,several_times_weekly,often,rarely,490.0,82.0,2.0,36.0,2.91,4.38,6.49,6.08,4.37,5.09,The terminal made it easy to issue a precise fix once I figured out where the stale input lived.,"The fix was fast, but reconstructing the upstream cause still required extra mental work.",3.645
p14,terminal_first,terminal,delegation,Yes,Yes,Yes,design,daily,rarely,sometimes,622.0,90.0,4.0,93.0,4.87,4.14,5.6,5.9,2.1,5.98,"The command stream made assignment quick, but I kept a mental checklist of missing steps.",I had to remember the whole plan because the log did not preserve structural gaps well.,4.505
p14,terminal_first,terminal,monitoring,Yes,Yes,Yes,design,daily,rarely,sometimes,886.0,82.0,6.0,116.0,5.22,5.67,5.44,4.88,3.26,4.82,I relied on log timestamps and repeated inspection commands to reconstruct state across agents.,I felt like I was scrolling to compare branches that would have been easier to scan side by side.,5.445
p14,terminal_first,terminal,recovery,Yes,Yes,Yes,design,daily,rarely,sometimes,521.0,86.0,4.0,77.0,3.46,3.88,6.59,5.84,3.69,5.65,The terminal made it easy to issue a precise fix once I figured out where the stale input lived.,"The fix was fast, but reconstructing the upstream cause still required extra mental work.",3.67
p14,terminal_first,canvas,delegation,Yes,Yes,Yes,design,daily,rarely,sometimes,672.0,78.0,2.0,93.0,4.48,4.71,5.19,5.27,4.08,4.92,I used the board layout to see whether any role or dependency was missing before launching agents.,I still wanted a quick keyboard action to insert a missing reviewer without dragging.,4.595
p14,terminal_first,canvas,monitoring,Yes,Yes,Yes,design,daily,rarely,sometimes,705.0,93.0,4.0,92.0,3.96,3.24,6.14,5.83,3.33,6.37,The spatial board let me compare branches without rereading the whole history.,"The board was clearer, but moving between cards took longer than skimming a terminal pane.",3.6
p14,terminal_first,canvas,recovery,Yes,Yes,Yes,design,daily,rarely,sometimes,671.0,81.0,2.0,91.0,4.77,3.62,5.87,5.42,4.18,4.63,"I could see which stale branch fed the writer, then repair the connection after tracing the red edge.","I saw the causal structure quickly, but the repair took more clicks than a direct command.",4.195
p15,canvas_first,canvas,delegation,Yes,Yes,Yes,product_analysis,weekly,sometimes,often,606.0,83.0,3.0,106.0,3.87,3.3,4.86,5.23,3.97,6.15,I used the board layout to see whether any role or dependency was missing before launching agents.,I still wanted a quick keyboard action to insert a missing reviewer without dragging.,3.585
p15,canvas_first,canvas,monitoring,Yes,Yes,Yes,product_analysis,weekly,sometimes,often,711.0,78.0,5.0,76.0,3.81,4.06,5.95,5.71,5.03,5.74,The spatial board let me compare branches without rereading the whole history.,"The board was clearer, but moving between cards took longer than skimming a terminal pane.",3.935
p15,canvas_first,canvas,recovery,Yes,Yes,Yes,product_analysis,weekly,sometimes,often,518.0,66.0,3.0,69.0,4.88,4.68,5.12,6.35,4.7,5.02,"I could see which stale branch fed the writer, then repair the connection after tracing the red edge.","I saw the causal structure quickly, but the repair took more clicks than a direct command.",4.78
p15,canvas_first,terminal,delegation,Yes,Yes,Yes,product_analysis,weekly,sometimes,often,675.0,76.0,2.0,69.0,4.36,3.76,5.29,6.1,2.57,5.6,"The command stream made assignment quick, but I kept a mental checklist of missing steps.",I had to remember the whole plan because the log did not preserve structural gaps well.,4.06
p15,canvas_first,terminal,monitoring,Yes,Yes,Yes,product_analysis,weekly,sometimes,often,968.0,79.0,6.0,147.0,5.03,5.11,4.11,5.2,3.0,4.52,I relied on log timestamps and repeated inspection commands to reconstruct state across agents.,I felt like I was scrolling to compare branches that would have been easier to scan side by side.,5.07
p15,canvas_first,terminal,recovery,Yes,Yes,Yes,product_analysis,weekly,sometimes,often,558.0,86.0,3.0,54.0,4.61,4.32,5.62,4.71,3.98,4.83,The terminal made it easy to issue a precise fix once I figured out where the stale input lived.,"The fix was fast, but reconstructing the upstream cause still required extra mental work.",4.465
p16,terminal_first,terminal,delegation,Yes,Yes,Yes,research,several_times_weekly,often,rarely,588.0,72.0,4.0,89.0,4.79,3.86,6.35,6.56,2.35,4.28,"The command stream made assignment quick, but I kept a mental checklist of missing steps.",I had to remember the whole plan because the log did not preserve structural gaps well.,4.325
p16,terminal_first,terminal,monitoring,Yes,Yes,Yes,research,several_times_weekly,often,rarely,888.0,75.0,4.0,177.0,4.21,4.81,5.32,4.37,3.15,4.98,I relied on log timestamps and repeated inspection commands to reconstruct state across agents.,I felt like I was scrolling to compare branches that would have been easier to scan side by side.,4.51
p16,terminal_first,terminal,recovery,Yes,Yes,Yes,research,several_times_weekly,often,rarely,489.0,99.0,3.0,73.0,4.13,4.53,5.5,6.18,3.96,5.68,The terminal made it easy to issue a precise fix once I figured out where the stale input lived.,"The fix was fast, but reconstructing the upstream cause still required extra mental work.",4.33
p16,terminal_first,canvas,delegation,Yes,Yes,Yes,research,several_times_weekly,often,rarely,694.0,97.0,4.0,105.0,3.22,3.32,5.74,6.34,3.85,5.06,I used the board layout to see whether any role or dependency was missing before launching agents.,I still wanted a quick keyboard action to insert a missing reviewer without dragging.,3.27
p16,terminal_first,canvas,monitoring,Yes,Yes,Yes,research,several_times_weekly,often,rarely,782.0,79.0,4.0,95.0,3.41,3.65,5.66,5.9,5.3,5.23,The spatial board let me compare branches without rereading the whole history.,"The board was clearer, but moving between cards took longer than skimming a terminal pane.",3.53
p16,terminal_first,canvas,recovery,Yes,Yes,Yes,research,several_times_weekly,often,rarely,631.0,72.0,4.0,91.0,5.14,4.58,5.43,5.01,5.5,5.35,"I could see which stale branch fed the writer, then repair the connection after tracing the red edge.","I saw the causal structure quickly, but the repair took more clicks than a direct command.",4.86
p17,canvas_first,canvas,delegation,Yes,Yes,Yes,engineering,daily,rarely,sometimes,697.0,78.0,3.0,104.0,4.23,4.64,5.35,5.0,4.07,4.0,I used the board layout to see whether any role or dependency was missing before launching agents.,I still wanted a quick keyboard action to insert a missing reviewer without dragging.,4.435
p17,canvas_first,canvas,monitoring,Yes,Yes,Yes,engineering,daily,rarely,sometimes,759.0,99.0,4.0,96.0,4.39,4.12,6.26,4.87,4.21,5.2,The spatial board let me compare branches without rereading the whole history.,"The board was clearer, but moving between cards took longer than skimming a terminal pane.",4.255
p17,canvas_first,canvas,recovery,Yes,Yes,Yes,engineering,daily,rarely,sometimes,458.0,80.0,4.0,39.0,4.66,4.5,5.01,5.82,3.32,4.7,"I could see which stale branch fed the writer, then repair the connection after tracing the red edge.","I saw the causal structure quickly, but the repair took more clicks than a direct command.",4.58
p17,canvas_first,terminal,delegation,Yes,Yes,Yes,engineering,daily,rarely,sometimes,586.0,82.0,3.0,69.0,5.51,4.81,5.62,3.97,2.99,5.69,"The command stream made assignment quick, but I kept a mental checklist of missing steps.",I had to remember the whole plan because the log did not preserve structural gaps well.,5.16
